Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Smestad Ii;SN18850;08.1999;28,6
Smestad Ii;SN18850;09.1999;179,8
Smestad Ii;SN18850;10.1999;73
Smestad Ii;SN18850;11.1999;19,5
Smestad Ii;SN18850;12.1999;53,5
Smestad Ii;SN18850;01.2000;22,6
Smestad Ii;SN18850;02.2000;27,7
Smestad Ii;SN18850;03.2000;29,5
Smestad Ii;SN18850;04.2000;53,2
Smestad Ii;SN18850;05.2000;78,3
Smestad Ii;SN18850;06.2000;57,8
Smestad Ii;SN18850;07.2000;76,3
Smestad Ii;SN18850;08.2000;117,5
Smestad Ii;SN18850;09.2000;30,1
Smestad Ii;SN18850;10.2000;169,6
Smestad Ii;SN18850;11.2000;280,3
Smestad Ii;SN18850;12.2000;77,8
Smestad Ii;SN18850;01.2001;79,7
Smestad Ii;SN18850;02.2001;22,2
Smestad Ii;SN18850;03.2001;37,1
Smestad Ii;SN18850;04.2001;74,7
Smestad Ii;SN18850;05.2001;64,3
Smestad Ii;SN18850;06.2001;42,2
Smestad Ii;SN18850;07.2001;69,2
Smestad Ii;SN18850;08.2001;87,4
Smestad Ii;SN18850;09.2001;63,3
Smestad Ii;SN18850;10.2001;123,1
Smestad Ii;SN18850;11.2001;32,1
Smestad Ii;SN18850;12.2001;26,6
Smestad Ii;SN18850;01.2002;65,8
Smestad Ii;SN18850;02.2002;51,8
Smestad Ii;SN18850;03.2002;8,8
Smestad Ii;SN18850;04.2002;31,2
Smestad Ii;SN18850;05.2002;77,4
Smestad Ii;SN18850;06.2002;50,2
Smestad Ii;SN18850;07.2002;118,4
Smestad Ii;SN18850;08.2002;34,2
Data er gyldig per 05.02.2024 (CC BY 4.0), Meteorologisk institutt (MET);;;
